@relation BustersKeyboardAgenttraining-data

@attribute xPacmanPosition NUMERIC
@attribute yPacmanPosition NUMERIC
@attribute ghostPosition1x NUMERIC
@attribute ghostPosition1y NUMERIC
@attribute ghostPosition2x NUMERIC
@attribute ghostPosition2y NUMERIC
@attribute ghostPosition3x NUMERIC
@attribute ghostPosition3y NUMERIC
@attribute ghostPosition4x NUMERIC
@attribute ghostPosition4y NUMERIC
@attribute distanceGhost1 NUMERIC
@attribute distanceGhost2 NUMERIC
@attribute distanceGhost3 NUMERIC
@attribute distanceGhost4 NUMERIC
@attribute validActions{1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute lastAction{Stop,South,North,West,East}
@attribute aliveGhost{1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute minimap1 {W,E,G}
@attribute minimap2 {W,E,G}
@attribute minimap3 {W,E,G}
@attribute minimap4 {W,E,G}
@attribute minimap5 {W,E,G}
@attribute minimap6 {W,E,G}
@attribute minimap7 {W,E,G}
@attribute minimap8 {W,E,G}
@attribute minimap9 {W,E,G}
@attribute minimap10 {W,E,G}
@attribute minimap11 {W,E,G}
@attribute minimap12 {W,E,G}
@attribute minimap13 {W,E,G}
@attribute minimap14 {W,E,G}
@attribute minimap15 {W,E,G}
@attribute minimap16 {W,E,G}
@attribute minimap17 {W,E,G}
@attribute minimap18 {W,E,G}
@attribute minimap19 {W,E,G}
@attribute minimap20 {W,E,G}
@attribute minimap21 {W,E,G}
@attribute minimap22 {W,E,G}
@attribute minimap23 {W,E,G}
@attribute minimap24 {W,E,G}
@attribute minimap25 {W,E,G}
@attribute action{Stop,South,North,West,East}
@attribute nextScore NUMERIC

@data
11,3,1,1,3,1,17,6,25,7,1000,1000,9,18,1011,East,1100,E,W,E,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,369
12,3,1,1,3,1,17,6,25,7,1000,1000,8,17,1011,East,1100,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,368
12,4,1,1,3,1,17,6,25,7,1000,1000,7,16,1111,North,1100,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,367
12,5,1,1,3,1,17,6,25,7,1000,1000,6,15,1111,North,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,366
12,6,1,1,3,1,17,6,25,7,1000,1000,5,14,1111,North,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,365
13,6,1,1,3,1,17,6,25,7,1000,1000,4,13,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,364
14,6,1,1,3,1,17,6,25,7,1000,1000,3,12,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,363
15,6,1,1,3,1,17,6,25,7,1000,1000,2,11,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East,362
16,6,1,1,3,1,17,6,25,7,1000,1000,1,10,1111,East,1100,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East,561
17,6,1,1,3,1,5,1,25,7,1000,1000,1000,9,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,560
18,6,1,1,3,1,5,1,25,7,1000,1000,1000,8,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,559
18,7,1,1,3,1,5,1,25,7,1000,1000,1000,7,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,558
19,7,1,1,3,1,5,1,25,7,1000,1000,1000,6,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,557
20,7,1,1,3,1,5,1,25,7,1000,1000,1000,5,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,556
21,7,1,1,3,1,5,1,25,7,1000,1000,1000,4,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,555
22,7,1,1,3,1,5,1,25,7,1000,1000,1000,3,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,554
23,7,1,1,3,1,5,1,25,7,1000,1000,1000,2,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East,553
15,11,5,14,11,3,14,17,25,7,13,12,7,14,1111,Stop,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,Stop,-1
15,11,5,15,12,3,14,18,25,7,14,11,8,15,1111,Stop,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,Stop,-2
15,11,5,16,12,3,15,18,25,6,15,11,7,14,1111,Stop,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,Stop,-3
15,11,5,16,13,3,16,18,25,7,15,10,8,15,1111,Stop,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,Stop,-4
15,11,5,16,13,4,17,18,25,6,15,9,9,14,1111,Stop,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,Stop,-5
15,11,5,15,13,4,18,18,25,7,14,9,10,15,1111,Stop,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-6
15,12,5,14,13,5,18,18,25,6,12,9,9,16,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-7
15,13,4,14,12,5,19,18,25,6,12,11,9,18,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-8
15,14,4,14,12,5,20,18,25,5,11,12,9,19,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-9
15,15,5,14,12,4,20,18,25,5,11,14,8,21,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-10
15,16,6,14,12,4,20,18,26,5,11,15,7,23,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-11
15,17,6,15,12,4,20,17,26,4,11,16,5,25,1111,North,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East,-12
16,17,7,15,12,4,21,17,26,3,11,17,5,25,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East,-13
17,17,6,15,12,4,21,17,27,3,13,18,4,23,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East,-14
18,17,6,15,12,3,21,18,27,4,14,20,4,23,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East,-15
19,17,7,15,12,3,21,18,28,4,14,21,3,21,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,W,W,W,W,W,East,-16
20,17,7,15,12,4,21,17,27,4,15,21,1,21,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,W,W,W,W,W,East,183
21,17,7,15,12,3,5,1,28,4,16,23,1000,21,1111,East,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,North,182
21,18,7,16,12,3,5,1,28,3,16,24,1000,21,111,North,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,North,181
21,18,8,16,13,3,5,1,27,3,15,23,1000,22,111,North,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,North,180
21,18,7,16,13,4,5,1,28,3,16,22,1000,21,111,North,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,West,179
20,18,7,15,12,4,5,1,28,4,16,22,1000,21,111,West,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,West,178
19,18,7,14,12,5,5,1,28,5,16,20,1000,21,111,West,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,West,177
