@relation BustersKeyboardAgenttraining-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-L1-weka.filters.unsupervised.attribute.Remove-R19-43-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Remove-R15

@attribute xPacmanPosition numeric
@attribute yPacmanPosition numeric
@attribute ghostPosition1x numeric
@attribute ghostPosition1y numeric
@attribute ghostPosition2x numeric
@attribute ghostPosition2y numeric
@attribute ghostPosition3x numeric
@attribute ghostPosition3y numeric
@attribute ghostPosition4x numeric
@attribute ghostPosition4y numeric
@attribute distanceGhost1 numeric
@attribute distanceGhost2 numeric
@attribute distanceGhost3 numeric
@attribute distanceGhost4 numeric
@attribute score numeric
@attribute nearestDot numeric
@attribute nextScore numeric

@data
24,6,1,10,2,18,26,3,28,18,27,34,5,15,-16,9999,-17
25,6,1,9,3,18,25,3,28,17,27,34,3,14,-17,9999,-18
25,5,1,9,2,18,26,3,28,17,28,36,3,14,-18,9999,-19
25,4,1,10,3,18,26,3,28,16,30,36,2,15,-19,9999,-20
25,3,1,9,4,18,26,4,28,16,30,36,2,15,-20,9999,-21
26,3,1,8,5,18,26,5,27,16,30,36,2,13,-21,9999,-22
27,3,2,8,6,18,26,5,27,15,30,36,3,13,-22,9999,-23
28,3,1,8,6,17,26,5,27,16,32,36,4,13,-23,9999,-24
28,4,2,8,6,16,26,5,27,15,30,34,3,13,-24,9999,-25
28,5,3,8,5,16,25,5,26,15,28,34,3,11,-25,9999,-26
27,5,4,8,5,16,25,4,27,15,26,33,3,11,-26,9999,-27
26,5,5,8,6,16,25,3,27,16,24,31,3,11,-27,9999,-28
25,5,5,8,6,15,25,4,26,16,23,29,1,12,-28,9999,-29
24,5,4,8,6,14,26,4,26,16,23,27,3,14,-29,9999,-30
24,4,4,8,6,15,25,4,27,16,24,29,1,15,-30,9999,-31
24,3,4,9,5,15,24,4,27,16,26,31,1,15,-31,9999,-32
25,3,5,9,5,15,24,5,27,15,26,32,3,13,-32,9999,-33
25,4,5,9,4,15,23,5,27,14,25,32,3,11,-33,9999,-34
25,5,4,9,4,14,23,4,26,14,25,30,3,10,-34,9999,-35
24,5,5,9,4,15,23,3,26,14,23,30,3,12,-35,9999,-36
23,5,4,9,3,15,24,3,26,15,23,30,3,13,-36,9999,-37
22,5,3,9,2,15,24,4,26,15,23,30,3,13,-37,9999,-38
22,4,2,9,1,15,25,4,26,14,25,32,3,13,-38,9999,-39
22,3,2,8,1,15,25,3,25,14,25,33,3,13,-39,9999,-40
23,3,2,8,1,16,26,3,25,13,26,35,3,11,-40,9999,-41
23,4,3,8,1,17,26,3,24,13,24,35,4,10,-41,9999,-42
24,4,3,7,2,17,26,4,24,13,24,35,2,8,-42,9999,-43
25,4,4,7,2,16,27,4,24,12,24,35,2,10,-43,9999,-44
26,4,4,6,2,17,27,5,24,13,24,37,2,12,-44,9999,-45
27,4,4,5,3,17,26,5,23,13,24,37,2,14,-45,9999,-46
28,4,4,5,3,16,26,5,22,13,25,37,3,14,-46,9999,-47
28,4,4,6,3,17,27,5,23,13,26,38,2,14,-47,9999,-48
28,5,4,6,3,18,26,5,23,13,25,38,2,12,-48,9999,-49
27,5,5,6,4,18,26,5,23,12,23,36,1,10,-49,9999,150
26,5,4,6,3,18,5,1,23,11,23,36,1000,8,150,9999,149
26,4,5,6,3,17,5,1,23,10,23,36,1000,9,149,9999,148
26,3,5,6,4,17,5,1,23,10,24,36,1000,9,148,9999,147
26,4,4,6,4,18,5,1,23,9,24,36,1000,7,147,9999,146
26,5,5,6,4,18,5,1,23,8,22,35,1000,5,146,9999,145
26,6,4,6,4,18,5,1,23,7,22,34,1000,3,145,9999,144
26,7,3,6,4,17,5,1,24,7,24,32,1000,3,144,9999,143
